strain	virus	date	GISAID_clade	country_exposure	division_exposure	period	source
Singapore/15/2020	SARS-CoV-2	2020-01-27	S	Singapore	Singapore	B	Non-USA
Zhejiang/WZ-02/2020	SARS-CoV-2	2020-01-17	L	China	Zhejiang	B	Non-USA
Lishui/LS111/2020	SARS-CoV-2	2020-01-25	L	China	Zhejiang	B	Non-USA
USA/AZ1/2020	SARS-CoV-2	2020-01-22	S	China	Hubei	B	Non-USA
Italy/SPL1/2020	SARS-CoV-2	2020-01-29	V	Italy	Lazio	B	Non-USA
Guangdong/20SF198/2020	SARS-CoV-2	2020-01-22	O	China	Guangdong	B	Non-USA
Beijing/DT-WH04/2020	SARS-CoV-2	2020-01-31	O	China	Hubei	B	Non-USA
Canada/ON_PHL2445/2020	SARS-CoV-2	2020-01-25	L	China	Hubei	B	Non-USA
Guangzhou/GZMU0056/2020	SARS-CoV-2	2020-01-29	S	China	Guangdong	B	Non-USA
Nanchang/JX177/2020	SARS-CoV-2	2020-01-30	S	China	Jiangxi	B	Non-USA
Shenzhen/SZTH-003/2020	SARS-CoV-2	2020-01-16	L	China	Guangdong	B	Non-USA
HongKong/HKU-904a/2020	SARS-CoV-2	2020-01-30	S	Hong Kong	Hong Kong	B	Non-USA
Wuhan/0125-A137/2020	SARS-CoV-2	2020-01-25	L	China	Hubei	B	Non-USA
Wuhan/WIV06/2019	SARS-CoV-2	2019-12-30	L	China	Hubei	B	Non-USA
Japan/PG-0015/2020	SARS-CoV-2	2020-01-20	L	Japan	Hokkaido	B	Non-USA
Hangzhou/HZ-1/2020	SARS-CoV-2	2020-01-20	L	China	Hubei	B	Non-USA
Wuhan/WHUH008/2020	SARS-CoV-2	2020-01-22	S	China	Hubei	B	Non-USA
Guangdong/20SF201/2020	SARS-CoV-2	2020-01-23	L	China	Guangdong	B	Non-USA
Jian/JX169/2020	SARS-CoV-2	2020-01-27	O	China	Jiangxi	B	Non-USA
Singapore/1/2020	SARS-CoV-2	2020-01-23	L	China	Hubei	B	Non-USA
Beijing/Wuhan_IME-BJ02/2020	SARS-CoV-2	2020-01-25	S	China	Beijing	B	Non-USA
Thailand/Nonthaburi_59/2020	SARS-CoV-2	2020-01-13	L	Thailand	Nonthaburi	B	Non-USA
Wuhan/0126-C5/2020	SARS-CoV-2	2020-01-26	L	China	Hubei	B	Non-USA
Taiwan/NTU01/2020	SARS-CoV-2	2020-01-31	S	China	Hubei	B	Non-USA
Hangzhou/HZ62/2020	SARS-CoV-2	2020-01-22	L	China	Zhejiang	B	Non-USA
Guangzhou/GZMU0057/2020	SARS-CoV-2	2020-01-27	L	China	Guangdong	B	Non-USA
Japan/PG-0016/2020	SARS-CoV-2	2020-01-20	L	Japan	Hokkaido	B	Non-USA
Zhejiang/CN2/2020	SARS-CoV-2	2020-01-22	S	China	Zhejiang	B	Non-USA
Thailand/Bangkok_238/2020	SARS-CoV-2	2020-01-31	S	Thailand	Bangkok	B	Non-USA
Hangzhou/ZJU-09/2020	SARS-CoV-2	2020-01-28	L	China	Zhejiang	B	Non-USA
Sichuan/SC-WCH4-287/2020	SARS-CoV-2	2020-01-30	O	China	Sichuan	B	Non-USA
Wuhan/0125-A142/2020	SARS-CoV-2	2020-01-25	L	China	Hubei	B	Non-USA
HongKong/HKU-907a/2020	SARS-CoV-2	2020-01-27	S	Hong Kong	Hong Kong	B	Non-USA
Sichuan/SC-GA-062/2020	SARS-CoV-2	2020-01-26	L	China	Sichuan	B	Non-USA
HongKong/HKPU12_2201/2020	SARS-CoV-2	2020-01-30	O	Hong Kong	Hong Kong	B	Non-USA
Guangzhou/20SF206/2020	SARS-CoV-2	2020-01-22	L	China	Guangdong	B	Non-USA
Wuhan/WHUH004/2020	SARS-CoV-2	2020-01-22	S	China	Hubei	B	Non-USA
Guangdong/2020XN4291-P0038/2020	SARS-CoV-2	2020-01-30	S	China	Guangdong	B	Non-USA
Wuhan/HBCDC-HB-02/2019	SARS-CoV-2	2019-12-30	L	China	Hubei	B	Non-USA
China/WH-09/2020	SARS-CoV-2	2020-01-08	L	China	Hubei	B	Non-USA
env/Wuhan/IVDC-HBF13-20/2020	SARS-CoV-2	2020-01-01	L	China	Hubei	B	Non-USA
Foshan/20SF210/2020	SARS-CoV-2	2020-01-22	L	China	Guangdong	B	Non-USA
Guangdong/20SF1152/2020	SARS-CoV-2	2020-01-30	L	China	Guangdong	B	Non-USA
Beijing/233/2020	SARS-CoV-2	2020-01-28	S	China	Beijing	B	Non-USA
Shanghai/SH0010/2020	SARS-CoV-2	2020-01-29	S	China	Shanghai	B	Non-USA
Taiwan/3/2020	SARS-CoV-2	2020-01-24	S	Taiwan	Taiwan	B	Non-USA
Wuhan/IPBCAMS-WH-04/2019	SARS-CoV-2	2019-12-30	L	China	Hubei	B	Non-USA
Sichuan/SC-WCH-310/2020	SARS-CoV-2	2020-01-24	L	China	Sichuan	B	Non-USA
Wuhan/WHUH021/2020	SARS-CoV-2	2020-01-22	L	China	Hubei	B	Non-USA
Hangzhou/ZJU-08/2020	SARS-CoV-2	2020-01-26	S	China	Zhejiang	B	Non-USA
Sichuan/SC-WCH-315/2020	SARS-CoV-2	2020-01-25	L	China	Sichuan	B	Non-USA
Shandong/IVDC-SD-001/2020	SARS-CoV-2	2020-01-19	O	China	Shandong	B	Non-USA
Netherlands/NoordHolland_2/2020	SARS-CoV-2	2020-03-03	GR	Netherlands	North Holland	B	Non-USA
England/20114099003/2020	SARS-CoV-2	2020-03-10	V	United Kingdom	England	B	Non-USA
England/20109002404/2020	SARS-CoV-2	2020-03-03	GR	United Kingdom	England	B	Non-USA
Wuhan/HB-WHCM-114/2020	SARS-CoV-2	2020-03-02	L	China	Hubei	B	Non-USA
Netherlands/NA_43/2020	SARS-CoV-2	2020-03-07	V	Netherlands	Netherlands	B	Non-USA
England/201040154/2020	SARS-CoV-2	2020-03-01	G	United Kingdom	England	B	Non-USA
Denmark/ALAB-SSI169/2020	SARS-CoV-2	2020-03-09	GH	Denmark	Denmark	B	Non-USA
Guangdong/GD2020227-P0029/2020	SARS-CoV-2	2020-02-05	L	China	Guangdong	B	Non-USA
Switzerland/100014/2020	SARS-CoV-2	2020-03-08	G	Switzerland	Basel-Stadt	B	Non-USA
Japan/PG-0178/2020	SARS-CoV-2	2020-03-05	L	Japan	Kanto	B	Non-USA
Wuhan/HB-WH1-131/2020	SARS-CoV-2	2020-03-02	O	China	Hubei	B	Non-USA
Shanghai/SH0088/2020	SARS-CoV-2	2020-02-01	L	China	Shanghai	B	Non-USA
England/201141315/2020	SARS-CoV-2	2020-03-10	O	United Kingdom	England	B	Non-USA
England/Sheff02/2020	SARS-CoV-2	2020-03-03	O	United Kingdom	England	B	Non-USA
England/20078004004/2020	SARS-CoV-2	2020-02-13	V	United Kingdom	England	B	Non-USA
Australia/NSW49/2020	SARS-CoV-2	2020-03-10	O	Australia	New South Wales	B	Non-USA
Scotland/EDB006/2020	SARS-CoV-2	2020-03-09	GR	United Kingdom	Scotland	B	Non-USA
Chile/Santiago_8/2020	SARS-CoV-2	2020-03-10	GR	Chile	Santiago	B	Non-USA
France/HF1463/2020	SARS-CoV-2	2020-02-21	GH	France	Hauts de France	B	Non-USA
Netherlands/NA_67/2020	SARS-CoV-2	2020-03-09	L	Netherlands	Netherlands	B	Non-USA
Wuhan/HB-WH4-216/2020	SARS-CoV-2	2020-02-06	L	China	Hubei	B	Non-USA
Guangzhou/GZMU0049/2020	SARS-CoV-2	2020-02-08	S	China	Guangdong	B	Non-USA
Guangdong/GZ-S6-P0050/2020	SARS-CoV-2	2020-02-28	S	China	Guangdong	B	Non-USA
England/20100001104/2020	SARS-CoV-2	2020-03-01	G	United Kingdom	England	B	Non-USA
Singapore/12/2020	SARS-CoV-2	2020-02-17	S	Singapore	Singapore	B	Non-USA
France/IDF0571/2020	SARS-CoV-2	2020-02-02	O	France	Ile de France	B	Non-USA
HongKong/HKPU61-0202/2020	SARS-CoV-2	2020-02-17	O	Hong Kong	Hong Kong	B	Non-USA
England/201040078/2020	SARS-CoV-2	2020-03-04	G	United Kingdom	England	B	Non-USA
England/201060040/2020	SARS-CoV-2	2020-03-04	GR	United Kingdom	England	B	Non-USA
Japan/PG-0072/2020	SARS-CoV-2	2020-02-27	L	Japan	Hokkaido	B	Non-USA
Japan/DP0191/2020	SARS-CoV-2	2020-02-15	O	Japan	Japan	B	Non-USA
Brazil/L13_CD23/2020	SARS-CoV-2	2020-03-09	O	Brazil	São Paulo	B	Non-USA
Austria/CeMM0147/2020	SARS-CoV-2	2020-02-28	GR	Austria	Vienna	B	Non-USA
Wuhan/HB-WHCM2-267/2020	SARS-CoV-2	2020-02-17	L	China	Hubei	B	Non-USA
Switzerland/100006/2020	SARS-CoV-2	2020-03-06	G	Switzerland	Basel-Stadt	B	Non-USA
Japan/PG-0087/2020	SARS-CoV-2	2020-03-04	S	Japan	Hokkaido	B	Non-USA
Italy/HSacco-2/2020	SARS-CoV-2	2020-03-09	G	Italy	Lombardy	B	Non-USA
Iceland/20/2020	SARS-CoV-2	2020-03-02	G	Italy	Italy	B	Non-USA
Wuhan/HB-WH1-134/2020	SARS-CoV-2	2020-02-22	L	China	Hubei	B	Non-USA
HongKong/HKPU29_0102/2020	SARS-CoV-2	2020-02-08	O	Hong Kong	Hong Kong	B	Non-USA
Norway/1953/2020	SARS-CoV-2	2020-03-10	G	Norway	Norway	B	Non-USA
Japan/PG-0108/2020	SARS-CoV-2	2020-03-09	L	Japan	Hokkaido	B	Non-USA
England/20106087206/2020	SARS-CoV-2	2020-03-02	G	United Kingdom	England	B	Non-USA
England/201080071/2020	SARS-CoV-2	2020-03-04	G	United Kingdom	England	B	Non-USA
Shanghai/SH0033/2020	SARS-CoV-2	2020-02-04	O	China	Shanghai	B	Non-USA
France/HF1986/2020	SARS-CoV-2	2020-03-04	GH	France	Hauts de France	B	Non-USA
England/20100001204/2020	SARS-CoV-2	2020-03-01	O	United Kingdom	England	B	Non-USA
Shaoxing/09/2020	SARS-CoV-2	2020-02-05	S	China	Zhejiang	B	Non-USA
Chile/Santiago_op3d1/2020	SARS-CoV-2	2020-03-07	S	Chile	Santiago	B	Non-USA
Spain/PV-000728/2020	SARS-CoV-2	2020-03-07	S	Spain	Basque Country	B	Non-USA
Japan/PG-0383/2020	SARS-CoV-2	2020-03-03	S	Japan	Chubu	B	Non-USA
Israel/51137031/2020	SARS-CoV-2	2020-03-01	GR	Israel	Tel Aviv District	B	Non-USA
England/201100062/2020	SARS-CoV-2	2020-03-06	V	United Kingdom	England	B	Non-USA
France/HF1870/2020	SARS-CoV-2	2020-03-03	G	France	Hauts de France	B	Non-USA
Guangzhou/GZMU0050/2020	SARS-CoV-2	2020-02-08	S	China	Guangdong	B	Non-USA
England/20100010304/2020	SARS-CoV-2	2020-03-01	GR	United Kingdom	England	B	Non-USA
Iceland/25/2020	SARS-CoV-2	2020-03-02	GH	Austria	Austria	B	Non-USA
Brazil/CV1/2020	SARS-CoV-2	2020-03-04	O	Brazil	Minas Gerais	B	Non-USA
England/20109003504/2020	SARS-CoV-2	2020-03-06	G	United Kingdom	England	B	Non-USA
England/20104009102/2020	SARS-CoV-2	2020-03-02	GR	United Kingdom	England	B	Non-USA
England/20109008704/2020	SARS-CoV-2	2020-03-05	L	United Kingdom	England	B	Non-USA
Spain/RI-005960/2020	SARS-CoV-2	2020-03-07	S	Spain	La Rioja	B	Non-USA
France/B2343/2020	SARS-CoV-2	2020-03-06	GH	France	Bretagne	B	Non-USA
Singapore/661/2020	SARS-CoV-2	2020-02-07	L	Singapore	Singapore	B	Non-USA
Spain/PV-000783/2020	SARS-CoV-2	2020-03-06	S	Spain	Basque Country	B	Non-USA
England/LIVE-A4727/2020	SARS-CoV-2	2020-03-10	V	United Kingdom	England	B	Non-USA
Belgium/KA-03042/2020	SARS-CoV-2	2020-03-04	G	Belgium	Turnhout	B	Non-USA
England/20110059306/2020	SARS-CoV-2	2020-03-08	L	United Kingdom	England	B	Non-USA
Scotland/CVR72/2020	SARS-CoV-2	2020-03-04	G	United Kingdom	Scotland	B	Non-USA
England/201101357/2020	SARS-CoV-2	2020-03-07	L	United Kingdom	England	B	Non-USA
Mexico/CDMX-INCMNSZ_02/2020	SARS-CoV-2	2020-03-10	S	Mexico	Mexico City	B	Non-USA
Spain/MD-004902/2020	SARS-CoV-2	2020-03-09	S	Spain	Madrid	B	Non-USA
Spain/PV-000672/2020	SARS-CoV-2	2020-03-06	S	Spain	Basque Country	B	Non-USA
England/BRIS-1218A6/2020	SARS-CoV-2	2020-03-08	GR	United Kingdom	England	B	Non-USA
England/20119001804/2020	SARS-CoV-2	2020-03-10	L	United Kingdom	England	B	Non-USA
Spain/PaisVasco201491/2020	SARS-CoV-2	2020-03-04	O	Spain	Basque Country	B	Non-USA
Netherlands/NA_21/2020	SARS-CoV-2	2020-03-08	V	Netherlands	Netherlands	B	Non-USA
Shanghai/SH0055/2020	SARS-CoV-2	2020-02-08	L	China	Shanghai	B	Non-USA
Japan/PG-0082/2020	SARS-CoV-2	2020-03-02	S	Japan	Hokkaido	B	Non-USA
Spain/RI-005973/2020	SARS-CoV-2	2020-03-10	GH	Spain	La Rioja	B	Non-USA
England/20109040104/2020	SARS-CoV-2	2020-03-06	L	United Kingdom	England	B	Non-USA
England/20102003604/2020	SARS-CoV-2	2020-03-01	V	United Kingdom	England	B	Non-USA
Spain/PV-000789/2020	SARS-CoV-2	2020-03-09	S	Spain	Basque Country	B	Non-USA
Guangzhou/GZMU0045/2020	SARS-CoV-2	2020-02-08	S	China	Guangdong	B	Non-USA
Spain/PV-000741/2020	SARS-CoV-2	2020-03-07	S	Spain	Basque Country	B	Non-USA
England/20102001304/2020	SARS-CoV-2	2020-03-02	V	United Kingdom	England	B	Non-USA
Sichuan/SC-NC-068/2020	SARS-CoV-2	2020-02-02	L	China	Sichuan	B	Non-USA
Scotland/CVR07/2020	SARS-CoV-2	2020-03-09	V	United Kingdom	Scotland	B	Non-USA
Switzerland/100007/2020	SARS-CoV-2	2020-03-05	V	Switzerland	Graubünden	B	Non-USA
Iceland/74/2020	SARS-CoV-2	2020-03-09	GH	Austria	Austria	B	Non-USA
Philippines/PH-RITM-0018/2020	SARS-CoV-2	2020-03-06	O	Philippines	National Capital Region	B	Non-USA
England/BRIS-1217A9/2020	SARS-CoV-2	2020-03-02	GR	United Kingdom	England	B	Non-USA
Canada/ON_PHL8751/2020	SARS-CoV-2	2020-02-29	GH	Canada	Ontario	B	Non-USA
Sweden/20-08111/2020	SARS-CoV-2	2020-03-09	GR	Sweden	Stockholm	B	Non-USA
England/20109006104/2020	SARS-CoV-2	2020-03-04	L	United Kingdom	England	B	Non-USA
Japan/DP0361/2020	SARS-CoV-2	2020-02-16	O	Japan	Japan	B	Non-USA
Croatia/ZG-297-20/2020	SARS-CoV-2	2020-03-05	GR	Croatia	Varaždin County	B	Non-USA
Spain/Donostia-San_Sebastian_COV003194/2020	SARS-CoV-2	2020-03-09	S	Spain	Basque Country	B	Non-USA
England/201090928/2020	SARS-CoV-2	2020-03-06	V	United Kingdom	England	B	Non-USA
Singapore/43/2020	SARS-CoV-2	2020-02-16	S	Singapore	Singapore	B	Non-USA
USA/IA-CDC-8200/2020	SARS-CoV-2	2020-03-07	G	USA	Iowa	B	USA-other
USA/FL-CDC-2718/2020	SARS-CoV-2	2020-03-09	O	USA	Florida	B	USA-other
USA/VA-DCLS-0020/2020	SARS-CoV-2	2020-03-10	GH	USA	Virginia	B	USA-other
env/USA/FL-UF11/2020	SARS-CoV-2	2020-02-21	S	USA	Florida	B	USA-other
USA/CA_2602/2020	SARS-CoV-2	2020-02-26	L	USA	California	B	USA-other
USA/WA_5030/2020	SARS-CoV-2	2020-02-27	V	USA	Washington	B	USA-other
USA/WA-S113/2020	SARS-CoV-2	2020-02-29	S	USA	Washington	B	USA-other
USA/CA-SCCPHD-UC144/2020	SARS-CoV-2	2020-03-06	O	USA	California	B	USA-other
USA/GA_1299/2020	SARS-CoV-2	2020-03-03	GR	USA	Georgia	B	USA-other
USA/WA-S42/2020	SARS-CoV-2	2020-02-28	S	USA	Washington	B	USA-other
USA/WA-UW83/2020	SARS-CoV-2	2020-03-10	S	USA	Washington	B	USA-other
USA/CA-SCCPHD-UC131/2020	SARS-CoV-2	2020-03-05	O	USA	California	B	USA-other
USA/WA-S7/2020	SARS-CoV-2	2020-02-24	S	USA	Washington	B	USA-other
USA/WA-UW74/2020	SARS-CoV-2	2020-03-10	S	USA	Washington	B	USA-other
USA/WA-UW134/2020	SARS-CoV-2	2020-03-10	GH	USA	Washington	B	USA-other
USA/LA-CDC-0757/2020	SARS-CoV-2	2020-03-10	GH	USA	Louisiana	B	USA-other
USA/WA-S252/2020	SARS-CoV-2	2020-03-02	S	USA	Washington	B	USA-other
USA/WA-UW72/2020	SARS-CoV-2	2020-03-09	S	USA	Washington	B	USA-other
USA/WA-UW71/2020	SARS-CoV-2	2020-03-09	S	USA	Washington	B	USA-other
USA/MA-MGH-00426/2020	SARS-CoV-2	2020-03-07	GH	USA	Massachusetts	B	USA-other
USA/WA2/2020	SARS-CoV-2	2020-02-24	S	USA	Washington	B	USA-other
USA/CA-SCCPHD-UC35/2020	SARS-CoV-2	2020-03-08	L	USA	California	B	USA-other
USA/MA-MGH-00416/2020	SARS-CoV-2	2020-03-07	GH	USA	Massachusetts	B	USA-other
USA/TX-HMH044/2020	SARS-CoV-2	2020-03-09	GH	USA	Texas	B	USA-other
USA/WA-UW52/2020	SARS-CoV-2	2020-03-09	S	USA	Washington	B	USA-other
USA/TX-HMH043/2020	SARS-CoV-2	2020-03-09	GH	USA	Texas	B	USA-other
USA/GA-EHC-069Q/2020	SARS-CoV-2	2020-03-04	GR	USA	Georgia	B	USA-other
USA/CA-SCCPHD-UC106/2020	SARS-CoV-2	2020-02-29	L	USA	California	B	USA-other
USA/MI-MDHHS-SC20359/2020	SARS-CoV-2	2020-03-10	GR	USA	Michigan	B	USA-other
USA/WA-UW17/2020	SARS-CoV-2	2020-03-06	O	USA	Washington	B	USA-other
USA/MA-MGH-00425/2020	SARS-CoV-2	2020-03-07	GH	USA	Massachusetts	B	USA-other
USA/CA-SCCPHD-UC141/2020	SARS-CoV-2	2020-03-09	O	USA	California	B	USA-other
USA/MA-MGH-00439/2020	SARS-CoV-2	2020-03-07	GH	USA	Massachusetts	B	USA-other
USA/WA-S18/2020	SARS-CoV-2	2020-03-03	S	USA	Washington	B	USA-other
USA/MA_1355/2020	SARS-CoV-2	2020-03-05	O	USA	Massachusetts	B	USA-other
USA/WA-S257/2020	SARS-CoV-2	2020-02-25	S	USA	Washington	B	USA-other
USA/WA-S256/2020	SARS-CoV-2	2020-03-02	S	USA	Washington	B	USA-other
USA/VA-DCLS-0012/2020	SARS-CoV-2	2020-03-10	GH	USA	Virginia	B	USA-other
USA/MI-MDHHS-SC20437/2020	SARS-CoV-2	2020-03-09	GH	USA	Michigan	B	USA-other
USA/MN5-MDH5/2020	SARS-CoV-2	2020-03-10	GR	USA	Minnesota	B	USA-other
USA/IL_1293/2020	SARS-CoV-2	2020-03-01	L	USA	Illinois	B	USA-other
USA/WA-S100/2020	SARS-CoV-2	2020-02-29	S	USA	Washington	B	USA-other
USA/WA-UW30/2020	SARS-CoV-2	2020-03-08	S	USA	Washington	B	USA-other
USA/CA-SCCPHD-UC145/2020	SARS-CoV-2	2020-03-10	O	USA	California	B	USA-other
USA/MI-MDHHS-SC20002/2020	SARS-CoV-2	2020-03-10	GR	USA	Michigan	B	USA-other
USA/CT-Yale-002/2020	SARS-CoV-2	2020-03-10	S	USA	Connecticut	B	USA-other
USA/MI-MDHHS-SC20122/2020	SARS-CoV-2	2020-03-10	GH	USA	Michigan	B	USA-other
USA/CA-SCCPHD-UC140/2020	SARS-CoV-2	2020-03-10	S	USA	California	B	USA-other
USA/MN4-MDH4/2020	SARS-CoV-2	2020-03-09	O	USA	Minnesota	B	USA-other
USA/WA-UW37/2020	SARS-CoV-2	2020-03-06	S	USA	Washington	B	USA-other
USA/WA-S302/2020	SARS-CoV-2	2020-03-04	S	USA	Washington	B	USA-other
USA/WA-UW31/2020	SARS-CoV-2	2020-03-08	S	USA	Washington	B	USA-other
USA/MN_0100/2020	SARS-CoV-2	2020-03-05	S	USA	Minnesota	B	USA-other
USA/WA-S104/2020	SARS-CoV-2	2020-03-05	S	USA	Washington	B	USA-other
USA/NC_0025/2020	SARS-CoV-2	2020-03-08	GH	USA	North Carolina	B	USA-other
USA/CA-SCCPHD-UC130/2020	SARS-CoV-2	2020-03-06	L	USA	California	B	USA-other
USA/FL-CDC-6318/2020	SARS-CoV-2	2020-03-09	GR	USA	Florida	B	USA-other
USA/NV_0016/2020	SARS-CoV-2	2020-03-07	L	USA	Nevada	B	USA-other
USA/WA-UW91/2020	SARS-CoV-2	2020-03-10	S	USA	Washington	B	USA-other
USA/WA-UW25/2020	SARS-CoV-2	2020-03-05	G	USA	Washington	B	USA-other
USA/SC_3571/2020	SARS-CoV-2	2020-03-07	S	USA	South Carolina	B	USA-other
USA/IL_0087/2020	SARS-CoV-2	2020-03-07	GH	USA	Illinois	B	USA-other
USA/GA-CDC-2059/2020	SARS-CoV-2	2020-03-07	O	USA	Georgia	B	USA-other
USA/WA-S31/2020	SARS-CoV-2	2020-03-02	S	USA	Washington	B	USA-other
USA/WA-S239/2020	SARS-CoV-2	2020-03-07	S	USA	Washington	B	USA-other
USA/CA-SCCPHD-UC151/2020	SARS-CoV-2	2020-03-10	L	USA	California	B	USA-other
USA/CA-SCCPHD-UC112/2020	SARS-CoV-2	2020-03-02	L	USA	California	B	USA-other
USA/WA-S265/2020	SARS-CoV-2	2020-03-05	S	USA	Washington	B	USA-other
USA/WA-S101/2020	SARS-CoV-2	2020-02-28	S	USA	Washington	B	USA-other
USA/CA-SCCPHD-UC155/2020	SARS-CoV-2	2020-03-10	L	USA	California	B	USA-other
USA/CA-SCCPHD-UC111/2020	SARS-CoV-2	2020-03-02	O	USA	California	B	USA-other
USA/CA-SCCPHD-UC129/2020	SARS-CoV-2	2020-03-06	L	USA	California	B	USA-other
USA/MA-MGH-00424/2020	SARS-CoV-2	2020-03-07	GH	USA	Massachusetts	B	USA-other
USA/WA-UW45/2020	SARS-CoV-2	2020-03-08	O	USA	Washington	B	USA-other
USA/WA-UW90/2020	SARS-CoV-2	2020-03-10	S	USA	Washington	B	USA-other
USA/CA-SR0416/2020	SARS-CoV-2	2020-03-10	S	USA	California	B	USA-other
USA/FL-CDC-2316/2020	SARS-CoV-2	2020-03-09	GH	USA	Florida	B	USA-other
USA/CA-SCCPHD-UC17/2020	SARS-CoV-2	2020-03-08	O	USA	California	B	USA-other
USA/MN-CDC-0103/2020	SARS-CoV-2	2020-03-10	GR	USA	Minnesota	B	USA-other
